"Table 940-92031 : Persons arrested for crime by type of offence, age group and sex",,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 , ,Persons arrested for crime (1) (2),Persons arrested for crime (1) (2),Persons arrested for crime (1) (2),Persons arrested for crime (1) (2),Persons arrested for crime (1) (2),Persons arrested for crime (1) (2),Persons arrested for crime (1) (2),Persons arrested for crime (1) (2),Persons arrested for crime (1) (2),Persons arrested for crime (1) (2),Persons arrested for crime (1) (2),Persons arrested for crime (1) (2)
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number
Age group,,10月15日,10月15日,10月15日,16-20,16-20,16-20,≧21,≧21,≧21,Total,Total,Total
Sex,,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes
Year,Type of offence,,,,,,,,,,,,
2010,     Theft from vehicle,16,0,16,13,0,13,145,5,150,174,5,179
2010,     Taking conveyance without authority,7,0,7,23,3,26,106,5,111,136,8,144
2010,     Other thefts,535,122,657,433,109,542,2672,1290,3962,3640,1521,5161
2010,     Handling stolen goods,12,2,14,12,0,12,73,19,92,97,21,118
2010,"     Deception, fraud and forgery",18,16,34,136,48,184,1448,723,2171,1602,787,2389
2010,     Sexual offences (other than rape and indecent assault),70,1,71,136,1,137,382,111,493,588,113,701
2010,     Serious drug offences,64,20,84,549,152,701,1742,426,2168,2355,598,2953
2010,     Serious immigration offences,0,2,2,10,12,22,272,167,439,282,181,463
2010,     Criminal damage,89,33,122,182,12,194,1122,195,1317,1393,240,1633
2010,     Unlawful society offences,129,12,141,215,14,229,197,8,205,541,34,575
2010,     Possession of arms/ammunition/offensive weapon,35,9,44,78,11,89,362,83,445,475,103,578
2010,     Other crimes,231,48,279,530,59,589,3622,1127,4749,4383,1234,5617
2010,Total,2546,1030,3576,3556,699,4255,21232,8893,30125,27334,10622,37956
2011,Violent crime,773,173,946,1071,74,1145,5541,1330,6871,7385,1577,8962
2011,     Rape,2,0,2,19,0,19,70,0,70,91,0,91
